"","(Intercept)","Days_Exposure","Days_Exposure:Leaf_TypeBuckthorn","Days_Exposure:Leaf_TypeOak","Days_Exposure:ReachGap","Days_Exposure:ReachDS","Days_Exposure:Leaf_TypeBuckthorn:ReachGap","Days_Exposure:Leaf_TypeOak:ReachGap","Days_Exposure:Leaf_TypeBuckthorn:ReachDS","Days_Exposure:Leaf_TypeOak:ReachDS"
"(Intercept)",0.0290099795335585,-0.000400096871072244,-1.1582423791194e-18,-1.39529568971506e-18,-1.77264920849149e-18,9.61633518574168e-06,1.29762342877453e-18,1.50359898663336e-18,2.16366817880219e-18,2.33344321668377e-18
"Days_Exposure",-0.000400096871072244,4.39901358261439e-05,-3.84721206873664e-05,-3.84721206873664e-05,-3.84721206873664e-05,-3.86047462762452e-05,3.84721206873664e-05,3.84721206873664e-05,3.84721206873664e-05,3.84721206873664e-05
"Days_Exposure:Leaf_TypeBuckthorn",-1.1582423791194e-18,-3.84721206873664e-05,7.69442413747329e-05,3.84721206873665e-05,3.84721206873665e-05,3.84721206873665e-05,-7.69442413747328e-05,-3.84721206873665e-05,-7.69442413747329e-05,-3.84721206873665e-05
"Days_Exposure:Leaf_TypeOak",-1.39529568971506e-18,-3.84721206873664e-05,3.84721206873665e-05,7.69442413747329e-05,3.84721206873665e-05,3.84721206873665e-05,-3.84721206873664e-05,-7.69442413747329e-05,-3.84721206873665e-05,-7.69442413747328e-05
"Days_Exposure:ReachGap",-1.77264920849149e-18,-3.84721206873664e-05,3.84721206873665e-05,3.84721206873665e-05,7.69442413747329e-05,3.84721206873665e-05,-7.69442413747328e-05,-7.69442413747329e-05,-3.84721206873664e-05,-3.84721206873665e-05
"Days_Exposure:ReachDS",9.61633518574168e-06,-3.86047462762452e-05,3.84721206873665e-05,3.84721206873665e-05,3.84721206873665e-05,7.39270797347321e-05,-3.84721206873664e-05,-3.84721206873665e-05,-7.39238920764197e-05,-7.39238920764197e-05
"Days_Exposure:Leaf_TypeBuckthorn:ReachGap",1.29762342877453e-18,3.84721206873664e-05,-7.69442413747328e-05,-3.84721206873664e-05,-7.69442413747328e-05,-3.84721206873664e-05,0.000153888482749466,7.69442413747328e-05,7.69442413747328e-05,3.84721206873664e-05
"Days_Exposure:Leaf_TypeOak:ReachGap",1.50359898663336e-18,3.84721206873664e-05,-3.84721206873665e-05,-7.69442413747329e-05,-7.69442413747329e-05,-3.84721206873665e-05,7.69442413747328e-05,0.000153888482749466,3.84721206873665e-05,7.69442413747329e-05
"Days_Exposure:Leaf_TypeBuckthorn:ReachDS",2.16366817880219e-18,3.84721206873664e-05,-7.69442413747329e-05,-3.84721206873665e-05,-3.84721206873664e-05,-7.39238920764197e-05,7.69442413747328e-05,3.84721206873665e-05,0.000147847784152839,7.39238920764197e-05
"Days_Exposure:Leaf_TypeOak:ReachDS",2.33344321668377e-18,3.84721206873664e-05,-3.84721206873665e-05,-7.69442413747328e-05,-3.84721206873665e-05,-7.39238920764197e-05,3.84721206873664e-05,7.69442413747329e-05,7.39238920764197e-05,0.000147847784152839
